Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Revenue,Profit,Payment_Mode,Ship_Mode,Campaign_ID,Region,Currency,Target_Revenue,Target_Profit
O90000,2025-10-29,08/11/25,C6801,P0154,2,256.51,0.31,631.83,240.62,Credit Card,Standard,,North America,USD,631.83,240.62
O90001,2024-05-04,12/05/24,C5611,P0180,2,1311.8,0.23,2053.79,288.97,Debit Card,Express,CAMP003,West Asia,INR,1848.34,267.2
O90002,2024-04-14,22/04/24,C6147,P0158,1,1165.22,0.03,1204.44,612.42,Credit Card,Express,,Northern Europe,GBP,1091.54,525.66
O90003,2024-09-27,06/10/24,C6235,P0236,1,1753.57,0.23,1670.88,534.63,Credit Card,Express,,East Asia,CNY,1451.26,466.16
O90004,2025-07-21,23/07/25,C5383,P0084,2,2132.53,0.09,5096.3,2386.22,UPI,Standard,,South Asia,INR,5482.53,2640.45
O90005,2025-07-31,03/08/25,C6900,P0157,1,405.49,0.13,478.66,208.36,UPI,Standard,,East Asia,CNY,526.72,223.01
O90006,2025-12-11,20/12/25,C6755,P0149,2,829.24,0.43,1784.31,796.95,Bank Transfer,Standard,,Western Europe,GBP,1885.58,850.46
O90007,2025-09-21,26/09/25,C6391,P0297,1,318.48,0.2,355.48,131.02,Credit Card,Standard,CAMP002,North America,CAD,337.15,117.51
O90008,2025-10-13,21/10/25,C7914,P0189,1,1031.8,0.27,1323.93,658.1,Wallet,Standard,CAMP007,West Asia,INR,1240.17,615.24
O90009,2024-11-01,02/11/24,C5502,P0133,1,256.47,0.13,416.77,260.96,Debit Card,Standard,,North America,CAD,375.57,240.26
O90010,2023-08-26,05/09/23,C6369,P0179,1,872.08,0.15,763.33,135.91,Debit Card,Standard,,North America,CAD,816.21,152.06
O90011,2025-09-18,24/09/25,C5551,P0052,2,1806.58,0.21,3916.14,1305.74,Credit Card,Standard,CAMP009,North America,CAD,3435.39,1218.52
O90012,2025-05-21,28/05/25,C6992,P0167,2,939.53,0.2,1711.53,516.45,UPI,Standard,,North America,CAD,1469.13,478.91
O90013,2025-02-20,25/02/25,C5183,P0237,1,172.25,0.01,193.84,36.98,Debit Card,Standard,,Northern Europe,EUR,205.47,42.09
O90014,2024-02-17,27/02/24,C6227,P0145,1,738.97,0.09,672.5,132.09,Wallet,Standard,,North America,CAD,726.58,147.34
O90015,2025-11-22,25/11/25,C6389,P0238,1,989.17,0.36,1280.1,692.84,Credit Card,Same Day,,Oceania,AUD,1406.51,752.86
O90016,2024-12-09,18/12/24,C7614,P0107,2,9.85,0.31,43.22,-10.82,UPI,Standard,CAMP006,West Asia,INR,48.17,-12.39
O90017,2023-10-13,14/10/23,C7279,P0005,2,467.82,0.27,979.46,402.76,Wallet,Standard,,Northern Europe,GBP,979.46,402.76
O90018,2024-03-22,24/03/24,C5670,P0266,1,1381.55,0.05,1480.16,546.4,Credit Card,Standard,,West Asia,INR,1480.16,546.4
O90019,2024-07-21,23/07/24,C6927,P0010,2,410.34,0.06,900.3,327.41,Credit Card,Standard,CAMP007,Oceania,AUD,949.03,373.86
O90020,2025-06-25,02/07/25,C6605,P0092,1,1255.85,0.09,1365.46,516.03,Credit Card,Standard,,North America,USD,1243.81,480.29
O90021,2025-04-03,09/04/25,C5941,P0103,2,818.9,0.24,1495.06,461.54,Debit Card,Standard,,South Asia,CNY,1627.2,506.39
